url,titulo,descricao,categoria,data,grupo,grupo3,texto_limpo,n_tokens,n_unicos,topico_lda
https://motor1.uol.com.br/news/796755/novos-rivais-brasil-byd-dolphin/,BYD Dolphin: os novos elétricos que podem ameaçar ainda mais seu domínio no Brasil,"GAC, MG, DFM e Arcfox apostam em preço, autonomia e mais espaço para disputar o segmento que já tem forte presença do Geely EX2 e do BYD Dolphin.",Análise,2026-05-24T15:00:00+00:00,Elétrico,Elétrico,byd dolphin novos eletricos podem ameacar ainda dominio gac dfm arcfox apostam autonomia espaco disputar segmento forte presenca geely byd dolphin,21,19,4
https://motor1.uol.com.br/news/796498/vendas-reino-unido-carros-abril/,Omoda 5 entra no top 10 britânico em mês de forte alta para elétricos,"Ford Puma lidera, mas o grande destaque do mercado britânico é a chegada inédita do Omoda 5 entre os carros mais vendidos. ",Análise,2026-05-24T12:00:00+00:00,Elétrico,Elétrico,omoda entra top britanico mes forte alta eletricos ford puma lidera grande destaque britanico chegada inedita omoda vendidos,18,16,4
https://motor1.uol.com.br/news/796725/citroen-2cv-retorno-eletrico-barato/,O Citroën 2CV está quase pronto para voltar: eis sua primeira imagem,"O lendário Citroën 2CV está de volta. Inspirado no Renault 5, compacto neo-retrô elétrico será feito na Itália e deve custar cerca de 15 mil euros.",Análise,2026-05-23T15:00:00+00:00,Elétrico,Elétrico,citroen quase pronto voltar eis primeira imagem lendario citroen volta inspirado renault compacto neo retro eletrico feito italia deve custar cerca mil euros,23,22,4
https://motor1.uol.com.br/news/796489/vendas-carros-abril-novos-it%C3%A1lia/,"Avenger, próximo lançamento da Jeep no Brasil, é o 2º mais vendido na Itália em abril","Jeep Avenger garante o segundo lugar nas vendas da Itália em abril. Próximo SUV nacional da marca se destaca em mercado europeu que cresceu 11,6%.",Análise,2026-05-23T13:00:00+00:00,Geral,Geral,avenger proximo lancamento jeep vendido italia abril jeep avenger garante segundo lugar italia abril proximo suv nacional destaca europeu cresceu,20,15,2
https://motor1.uol.com.br/news/796750/analise-guerra-potencia-eletricos-chineses/,A guerra dos 1.000 cv: quando potência vira vitrine,"Números impressionantes de potência se tornaram armas para uma guerra fria automotiva, principalmente entre os chineses.",Análise,2026-05-23T11:00:00+00:00,Geral,Geral,guerra potencia vira vitrine numeros impressionantes potencia tornaram armas guerra fria automotiva principalmente chineses,14,12,3
https://motor1.uol.com.br/news/796764/citroen-promocao-basalt-c3-uber/,Citroën tem C3 e Basalt partindo de R$ 65 mil em promoção para Uber e táxi,Marca aproveita a esteira do Programa Move Brasil e faz ação com seus modelos de entrada; condições são válidas para táxi e motoristas de aplicativo.,Análise,2026-05-22T21:00:00+00:00,Geral,Geral,citroen basalt partindo mil promocao uber taxi aproveita esteira programa move faz acao entrada condicoes validas taxi motoristas aplicativo,19,18,5
https://motor1.uol.com.br/news/796745/stellantis-confirma-novas-toro-rampage/,Oficial: novas Fiat Toro e Ram Rampage crescerão e poderão ser híbridas,"Stellantis confirma nova geração da Fiat Toro e da Ram Rampage com plataforma STLA Medium, mais tecnologia e foco em multi-energia.",Análise,2026-05-22T20:00:00+00:00,Geral,Geral,oficial novas fiat toro ram rampage crescerao poderao hibridas stellantis confirma geracao fiat toro ram rampage plataforma stla medium tecnologia foco multi energia,23,19,5
https://motor1.uol.com.br/news/796756/bmw-m1000rr-isle-man-tt/,BMW M 1000 RR ganha edição limitada Isle of Man TT de 115 unidades,Série especial da moto mais esportiva da marca celebra os 115 anos da mítica e perigosa prova de rua com pintura exclusiva e detalhes em fibra de carbono.,Análise,2026-05-22T18:30:00+00:00,Geral,Geral,bmw ganha edicao limitada isle man serie especial moto esportiva celebra anos mitica perigosa prova rua pintura exclusiva detalhes fibra carbono,21,21,3
https://motor1.uol.com.br/news/796754/gwm-fabrica-brasil-10-mil/,GWM já produziu 10.000 carros em Iracemápolis (SP) e terá segunda fábrica ,"Hoje fazendo o Haval H6 em Iracemápolis, fabricante chinesa planeja segunda fábrica e quer Ora 5 nacional em breve.",Análise,2026-05-22T17:40:36+00:00,Geral,Geral,gwm produziu iracemapolis segunda fabrica hoje fazendo haval iracemapolis fabricante chinesa planeja segunda fabrica quer ora nacional breve,18,15,3
https://motor1.uol.com.br/news/796729/flagra-jaecoo-5-hibrido-brasil/,Flagra: Jaecoo 5 Hybrid já está desembarcando no Brasil e custará menos de R$ 160 mil,"Novo SUV da Omoda & Jaecoo, Jaecoo 5 Hybrid atuará como opção mais barata da empresa e pode custar menos de R$ 160 mil.",Análise,2026-05-22T14:28:39+00:00,Geral,Geral,flagra jaecoo hybrid desembarcando custara menos mil suv omoda jaecoo jaecoo hybrid atuara opcao barata empresa custar menos mil,19,14,4
